Foundation,Communities,FormalName,Location,Region
Beadlow Priory,"Benedictine monks — from Milbrookdependent on St Albans, Hertfordshirefounded 1140/6 by Henry d'Albini;abandoned 1435, reverted to the Crown, the buildings falling into decay thereafter","Saint Mary Magdalen
____________________Beaulieu Priory",&52°02′01″N 0°23′23″W﻿ / ﻿52.033479°N 0.389822°W﻿ / 52.033479; -0.389822﻿ (Beadlow Priory),Bedfordshire
Bedford Greyfriars #,"Franciscan Friars Minor, Conventual (under the custody of Oxford);founded 1238 by Mabilea de Plateshull;dissolved c.1539; granted to John Gostwyke",Saint Francis,"52°08′20″N 0°28′29″W﻿ / ﻿52.1388484°N 0.4748422°W﻿ / 52.1388484; -0.4748422﻿ (Greyfriars, Bedford)",Bedfordshire
Bedford Abbey,"Benedictine monksfounded before 971;
ceased to exist decades before 1066 (possibly destroyed in raids by the Danes 1010);",,52°07′46″N 0°28′03″W﻿ / ﻿52.1293916°N 0.4675412°W﻿ / 52.1293916; -0.4675412﻿ (Bedford Abbey),Bedfordshire
Bedford Priory,"secular canons collegiatefounded before 1066;Augustinian Canons Regularfounded c.1165-6 by Simon Beauchamp;transferred to new site at Newnham c.1080;
current parish church of St Paul built on site from 14th century",,52°08′08″N 0°28′03″W﻿ / ﻿52.1354637°N 0.4675627°W﻿ / 52.1354637; -0.4675627﻿ (Bedford Priory),Bedfordshire
Bushmead Priory ^,"Augustinian Canons Regularfounded 1195 by Hugh Beauchamp;dissolved 1536; granted to Sir William Gascoign;
refectory incorporated into mansion built on site; (EH)","The Priory Church of Saint Mary, Bushmead
____________________Bissemede Priory",",52°14′01″N 0°22′03″W﻿ / ﻿52.233480°N 0.367530°W﻿ / 52.233480; -0.367530﻿ (Bushmead Priory)",Bedfordshire
Caldwell Priory #,"Augustinian Canons Regular — Holy Sepulchrefounded c.1154 (1153) (early in the reign of Henry II, or during that of Stephen) by Simon Basket[note 1] (Barescote?), Alderman of Bedford, or a member of the Barescote family[note 2], or between 1199 and 1216 (during the reign of John): land granted by Robert of Houghton, confirmed by Henry III, or between 1199 and 1216 (during the reign of John): land granted by Robert of Houghton, confirmed by Henry III[note 3];Augustinian Canons Regular before c.1280;dissolved 1536; granted to Thomas Leigh c.1562","The Priory Church of Saint John the Baptist at Caldwell
____________________Cauldwell Priory",52°07′46″N 0°28′36″W﻿ / ﻿52.1294575°N 0.4767251°W﻿ / 52.1294575; -0.4767251﻿ (Caldwell Priory),Bedfordshire
Chicksands Priory ^,"Gilbertine Canons and Canonesses — double housefounded c.1150 (1147) by Pain de Beauchamp and his wife, Rose (Roese/Roais)[note 4] or c.1154[note 5];dissolved 1538; granted to London grocer Richard Snow;
cloisters incorporated into private house;
Crown Property 1936; in grounds of Military base to 1995;restored by MOD 1997-8","Saint Mary
____________________Chicksand Priory",52°02′27″N 0°21′59″W﻿ / ﻿52.040896°N 0.366417°W﻿ / 52.040896; -0.366417﻿ (Chicksands Priory),Bedfordshire
Dunstable Blackfriars #,Dominican Friars (under the Visitation of Cambridge)founded 1259 at the invitation of King Henry III and his consort;dissolved before 8 May 1539,,51°52′59″N 0°31′17″W﻿ / ﻿51.8831074°N 0.5214858°W﻿ / 51.8831074; -0.5214858﻿ (Dunstable Friary),Bedfordshire
Dunstable Priory +,"Augustinian Canons Regularfounded 1131 (or before 1125?) by Henry I;dissolved 1540; granted to Sir Leonard Chamberlayne
nave of church now in parochial use","The Priory Church of Saint Peter, Dunstable
____________________Dunstaple Priory",51°53′10″N 0°31′04″W﻿ / ﻿51.886026°N 0.517653°W﻿ / 51.886026; -0.517653﻿ (Dunstable Priory),Bedfordshire
Elstow Abbey +,"Benedictine nunsfounded 1078 by Judith, niece of William the Conqueror;dissolved 1539; granted to Sir Humphrey Radcliff c.1553;
nave now in use as parish church","The Abbey Church of Saint Mary and Saint Helena, Elstow",52°06′54″N 0°28′10″W﻿ / ﻿52.114947°N 0.469502°W﻿ / 52.114947; -0.469502﻿ (Elstow Abbey),Bedfordshire
"Grovebury Priory,Leighton Buzzard","Fontévrault Benedictine monksalien house: cell dependent on Fontévrault
manor granted after 1164 by Henry II;founded after 1189;dissolved 1414;
farmhouse built on site",La Grave Priory;Leighton Buzzard Priory;Grovesbury Priory,51°54′14″N 0°39′35″W﻿ / ﻿51.9037717°N 0.6598234°W﻿ / 51.9037717; -0.6598234﻿ (Grovebury Priory),Bedfordshire
Hardwick Preceptory #,Knights Hospitallerfounded before(?)1279dissolved before(?)1489,,52°05′05″N 0°29′53″W﻿ / ﻿52.0847015°N 0.498054°W﻿ / 52.0847015; -0.498054﻿ (Hardwick Preceptory),Bedfordshire
Harrold Priory #,"Augustinian Canonesses — Arroasian under protection and guidance of (possibly lay) brothers (see immediately below)alien house: daughter of Arrouaise, Normandyfounded 1138 by Sampson le Forte;
ceded to Great Missenden, Buckinghamshire 1177Augustinian Canonesses
became denizen: independent from 1188;dissolved 1536; granted to William Lord Parr
site occupied by farmhouse and a mansion named 'Harrold Hall', built 1608-1610","The Priory Church of the Blessed Virgin Mary and Saint Peter, Harrold
____________________Harwood Priory",52°11′58″N 0°36′20″W﻿ / ﻿52.1994534°N 0.6054738°W﻿ / 52.1994534; -0.6054738﻿ (Harrold Priory),Bedfordshire
Harrold Priory Cell,Augustinian Canons Regular — Arroasian (or possibly lay-brothers[note 6]) attached to the nunnery (see immediately above)founded c.1136-8;dissolved before 1181,,,Bedfordshire
Leighton Buzzard Cell #,"Cistercian monks
cell or grange? dependent on Woburn;founded before 1159",,51°54′57″N 0°39′46″W﻿ / ﻿51.9159317°N 0.6628825°W﻿ / 51.9159317; -0.6628825﻿ (Leighton Buzzard Cell),Bedfordshire
Markyate Priory,Historical county location. See entry under List of monastic houses in Hertfordshire,Historical county location. See entry under List of monastic houses in Hertfordshire,Historical county location. See entry under List of monastic houses in Hertfordshire,Bedfordshire
Melchbourne Preceptory,"Knights Hospitallerfounded before 1176 by Lady Alice de Claremonte, Countess of Pembroke;dissolved 1486; held by the prior of England from 1489, de facto losing its status as a preceptory;granted to John, Earl of Bedford 1550/1;restored to the Knights by Queen Mary",Melchbourne Priory;Melchburn Preceptory;Mechelburn Preceptory,52°16′17″N 0°29′33″W﻿ / ﻿52.2712563°N 0.4924536°W﻿ / 52.2712563; -0.4924536﻿ (Melchbourne Preceptory),Bedfordshire
